year,up,low,error_up,error_low
1763,11.673424657534248,-11.126575342465753,0.43377152870803215,-0.43377152870803215
1764,10.791256830601094,-9.208743169398907,0.4039770847527109,-0.4039770847527109
1765,9.321643835616438,-10.798356164383563,0.39340777184596654,-0.39340777184596654
1766,10.749863013698631,-12.33013698630137,0.4550617892907365,-0.4550617892907365
1767,12.330547945205481,-12.709452054794522,0.467425713144376,-0.467425713144376
1768,11.751775956284153,-12.248224043715847,0.4591135871620686,-0.4591135871620686
1769,10.71369863013699,-10.546301369863013,0.42491910226026874,-0.42491910226026874
1770,10.283013698630146,-11.556986301369863,0.4353197523719139,-0.4353197523719139
1771,10.734794520547943,-10.125205479452058,0.43321461972196573,-0.43321461972196573
1772,10.142896174863388,-10.607103825136612,0.3973441052473383,-0.3973441052473383
1773,9.043150684931504,-10.016849315068496,0.3961963788970735,-0.3961963788970735
1774,11.451506849315068,-12.128493150684934,0.4659994953479636,-0.4659994953479636
1775,10.709931506849315,-10.450068493150686,0.30924334622024396,-0.30924334622024396
1776,11.668019125683058,-10.67198087431694,0.33084524840136,-0.33084524840136
1777,10.796986301369863,-11.403013698630138,0.3140830076420329,-0.3140830076420329
1778,11.099241379310346,-10.570758620689656,0.2996185836067582,-0.2996185836067582
1779,9.905531914893617,-10.294468085106384,0.3034035965427755,-0.3034035965427755
1780,11.792420907840441,-11.67757909215956,0.33125494864147953,-0.33125494864147953
1781,11.736482758620692,-10.75351724137931,0.324943175509242,-0.324943175509242
1782,12.74255172413793,-11.50744827586207,0.3455929155624169,-0.3455929155624169
1783,10.78109589041096,-11.71890410958904,0.3186670158819105,-0.3186670158819105
1784,13.17491803278688,-12.515081967213115,0.37921146684059437,-0.37921146684059437
1785,12.821917808219178,-11.693082191780821,0.35726063635460115,-0.35726063635460115
1786,12.143356164383565,-10.721643835616437,0.32277715494053005,-0.32277715494053005
1787,11.308219178082194,-11.446780821917807,0.3166941270754471,-0.3166941270754471
1788,11.87749656121045,-12.132503438789549,0.35586376236682327,-0.35586376236682327
1789,11.182260273972606,-11.527739726027397,0.34231603334160177,-0.34231603334160177
1790,10.821575342465753,-10.588424657534247,0.2943402405949751,-0.2943402405949751
1791,11.013402777777777,-9.941597222222223,0.29214990157177745,-0.29214990157177745
1792,10.821789617486338,-11.573210382513661,0.31310272982035947,-0.31310272982035947
1793,11.281575342465759,-10.523424657534244,0.3141064476196629,-0.3141064476196629
1794,10.52903448275862,-10.87096551724138,0.28839988367155733,-0.28839988367155733
1795,10.784525447042641,-12.495474552957356,0.34221834211560953,-0.34221834211560953
1796,10.831438356164385,-10.418561643835615,0.3054616831949115,-0.3054616831949115
1797,11.006643835616442,-10.35335616438356,0.30696980040987043,-0.30696980040987043
